virus,realm,locus_tag,host,type,shape,corr,p.value
Enterococcus phage vB EfaP Ef6.3,NA,H3T66,NA,NA,NA,-0.533606078316774,1.83912254196726e-05
Escherichia phage vB EcoM G4498,NA,KMC10,NA,NA,NA,-0.54646405610754,1.06992745492322e-05
Ruegeria phage vB RpoP-V12,NA,HYP62,NA,NA,NA,-0.136528345996493,0.301634611731811
Huangpi Tick Virus 3,Riboviria,BI074,invertebrates,RNA,linear,-0.166744593804793,0.206300731788113
Actinidia virus A,Riboviria,FK833,land plants,RNA,linear,-0.147574517825833,0.263912027239596
Shahe heteroptera virus 4,Riboviria,BWT99,invertebrates,RNA,linear,-0.56697837521917,4.33010946062349e-06
Plautia stali intestine virus,Riboviria,PSIVgp,invertebrates,RNA,linear,-0.59240210403273,1.31736375562286e-06
Listeria phage LMTA-34,Duplodnaviria,FDI77,bacteria,DNA,linear,-0.501344243132671,6.58962134134522e-05
Flavobacterium phage vB FspS snork6-1,NA,HWC96,NA,NA,NA,-0.575043834015196,2.99304489359677e-06
Black medic leafroll alphasatellite 1,Alphasatellitidae,DJ33,land plants,DNA,circular,-0.401298701298701,0.00257322634105317
Hubei sobemo-like virus 48,Riboviria,BVB06,invertebrates,RNA,linear,-0.382407948568089,0.00297966816178345
McMurdo Ice Shelf pond-associated circular DNA virus-2,NA,IT60,NA,DNA,circular,-0.543132670952659,1.23342515607605e-05
Siegesbeckia yellow vein Guangxi virus,Monodnaviria,SieYVGV,land plants,DNA,circular,-0.436294564582116,0.000621203825029357
Bat associated circovirus 2,Monodnaviria,L675,vertebrates,DNA,circular,-0.538896920852687,1.75381856631431e-05
Mycobacterium phage jaws,Duplodnaviria,FGG34,bacteria,DNA,linear,0.486908240794857,0.000112440559656318
Gordonia phage JKSyngboy,NA,J1762,NA,DNA,linear,0.479953243717125,0.000144334803195693
Shigella phage SFPH2,Duplodnaviria,HOT79,bacteria,DNA,circular,-0.00613676212741087,0.963265612058145
European brown hare syndrome virus,Riboviria,EBHSVgp,vertebrates,RNA,linear,-0.331911163062537,0.0105341799167665
Cellulophaga phage phi10:1,Duplodnaviria,Phi10,bacteria,DNA,circular,-0.55645821157218,6.92896425983557e-06
Villovirus Vf33,Monodnaviria,Vf33,bacteria,NA,NA,-0.3291642314436,0.0112239673121731
Magnaporthe oryzae virus 2,Riboviria,MaOV2,fungi,RNA,linear,0.26750438340152,0.040842092551236
Ecklonia radiata-associated virus 1,Monodnaviria,EXK61,eukaryotic algae,DNA,linear,-0.142014519056261,0.291120009991476
Citrobacter phage CF1 DK-2017,Duplodnaviria,HOR74,bacteria,DNA,linear,-0.44447691408533,0.000479023275125387
Beihai barnacle virus 8,Riboviria,BVF31,invertebrates,RNA,linear,0.0382232612507306,0.773276424764401
Escherichia phage Min27,Duplodnaviria,pMIN27,bacteria,DNA,linear,-0.326943308007013,0.0118100454949232
Mycobacterium phage Moonbeam,NA,I5H67,NA,DNA,linear,0.413033313851549,0.00125924102667687
Lutzomyia reovirus 1,Riboviria,AD074,invertebrates,RNA,linear,-0.461835184102864,0.000270401946356989
Streptomyces phage Vash,Duplodnaviria,HOV11,bacteria,DNA,linear,0.309791134762681,0.0183135587801274
Mycobacterium phage Swirley,Duplodnaviria,AVV40,bacteria,DNA,linear,0.497428404441847,7.63401020139862e-05
Sinapis alba cryptic virus 1,Riboviria,A9K98,land plants,RNA,linear,-0.237229690239626,0.0705863029925418
Elderberry aureusvirus 1,Riboviria,EXK68,land plants,RNA,linear,-0.106585868528715,0.424804311082947
Streptomyces phage Darolandstone,Duplodnaviria,HOU27,bacteria,DNA,linear,0.485388661601403,0.000118795792476364
Shewanella sp. phage 1/40,Duplodnaviria,S140,bacteria,DNA,linear,-0.544944476914085,1.14181332388048e-05
Escherichia phage vB EcoM G8,NA,KMC07,NA,NA,NA,-0.541554646405611,1.31877110562928e-05
East African cassava mosaic Malawi virus-Malawi[K],Monodnaviria,D1T07,land plants,DNA,linear,-0.407071887784921,0.00149804593924676
Lactococcus phage P118,Duplodnaviria,GJ23,bacteria,DNA,linear,-0.542431326709527,1.27069843591724e-05
Lake Sarah-associated circular virus-38,unclassified viruses,A0S31,invertebrates,DNA,circular,-0.302962256605863,0.0211543058157247
Pseudomonas phage H66,Duplodnaviria,FGG48,bacteria,DNA,circular,0.439099941554647,0.000568629326780404
Lactococcus phage 936 group phage PhiL.6,Duplodnaviria,HYO88,bacteria,DNA,linear,-0.537580362361192,1.55879505538077e-05
Influenza A virus (A/California/07/2009(H1N1)),Riboviria,UJ99,human:vertebrates,RNA,linear,-0.468030391583869,0.000218958485391289
Mycobacterium phage ThetaBob,Duplodnaviria,HWC44,bacteria,DNA,linear,0.405143191116306,0.00158361615773124
Highlands J virus,Riboviria,HJV,invertebrates:vertebrates,RNA,linear,-0.378082992402104,0.0033448744181638
Lunk virus NKS-1,Riboviria,D012,vertebrates,RNA,linear,-0.380596142606663,0.00312809031637762
Vibrio phage Thalassa,Duplodnaviria,FDJ20,bacteria,DNA,linear,-0.555406195207481,7.25724369752721e-06
Vibrio phage henriette 12B8,Duplodnaviria,VPDG,bacteria,DNA,linear,-0.509000584453536,4.91887175508696e-05
Thermus phage phiYS40,Duplodnaviria,YS40,bacteria,DNA,linear,-0.559088252483928,6.16822933146671e-06
Parry Creek virus,Riboviria,CAV03,invertebrates,RNA,linear,-0.482700175336061,0.000130856358785012
Malvastrum yellow mosaic alphasatellite,NA,D1Y54,NA,DNA,circular,-0.398480420806546,0.00191412320450957
crAssphage cr56 1,NA,KNV48,NA,NA,NA,-0.574751607247224,3.03376908722343e-06
Escherichia phage HY01,Duplodnaviria,ACQ54,bacteria,DNA,linear,-0.549327878433665,9.45823995787808e-06
Mycobacterium phage phiT46-1,NA,KDJ10,NA,DNA,linear,0.434132086499123,0.000664705171582749
Botrytis cinerea mitovirus 4,Riboviria,AT149,fungi:vertebrates,RNA,linear,-0.586811511339813,4.87890318521289e-06
Erwinia phage vB EhrS 49,NA,HOV54,NA,NA,NA,-0.143424897720631,0.277690510382379
Norway rat pestivirus,Riboviria,QH83,vertebrates,RNA,linear,-0.407714786674459,0.00147046210772016
Yunnan orbivirus,Riboviria,YUOV,invertebrates:vertebrates,RNA,linear,-0.461542957334892,0.000273081993432472
Bovine polyomavirus 2,Monodnaviria,RF32,vertebrates,DNA,linear,-0.507364114552893,5.23892002783615e-05
Propionibacterium phage P104A,Duplodnaviria,D289,bacteria,DNA,linear,0.0583869082407949,0.659688178582946
Ross River virus,Riboviria,RRVgp,human:invertebrates:vertebrates,RNA,linear,-0.206312098188194,0.116829289434523
Wuhan poty-like virus 1,Riboviria,B1T70,invertebrates,RNA,linear,-0.393980128579778,0.00217113268304543
Bacillus phage Kida,Duplodnaviria,BIZ89,bacteria,DNA,linear,-0.480888369374635,0.000139609305499315
Zaliv Terpeniya virus,Riboviria,KM582,invertebrates,RNA,linear,-0.197954412624196,0.132659839485502
Seal picornavirus type 1,Riboviria,SPV1,vertebrates,RNA,linear,-0.588836937463472,1.56367349531839e-06
Bos taurus papillomavirus 7,Monodnaviria,BPV7,vertebrates,DNA,circular,-0.50385739333723,5.99071928176264e-05
Klebsiella phage ZCKP1,Duplodnaviria,HOT48,bacteria,DNA,linear,-0.53156049094097,2.00109791369501e-05
Soybean mild mottle virus,Monodnaviria,SMMV,land plants,DNA,circular,-0.348100526008182,0.00717102602434753
Mycobacterium phage Krakatau,Duplodnaviria,I5H55,bacteria,DNA,linear,0.4177089421391,0.00109660872059379
Pseudomonas phage PP7,Riboviria,PP7p,bacteria,RNA,linear,0.0583869082407949,0.659688178582946
Thielaviopsis basicola mitovirus,Riboviria,TBMV,fungi,RNA,linear,-0.576549131449313,4.16595871557274e-06
Parrot bornavirus 1,Riboviria,D1Y14,vertebrates,RNA,linear,-0.503915838690824,5.97741062868e-05
Penicillium digitatum polymycoviruses 1,Riboviria,F2Q17,fungi,RNA,linear,0.172238457042665,0.191580671540514
Beihai picorna-like virus 116,Riboviria,BVK23,invertebrates,RNA,linear,-0.475686732904734,0.000167820061471084
Mycobacterium phage BillKnuckles,Duplodnaviria,CM11,bacteria,DNA,linear,0.500350672121566,6.84131031912291e-05
Malvastrum leaf curl Guangdong betasatellite,Tolecusatellitidae,DK34,land plants,DNA,circular,-0.155173810874321,0.325278256564049
Lactococcus phage 05601,Duplodnaviria,HYP24,bacteria,DNA,linear,-0.567329047340737,4.26181958061413e-06
Golden shiner totivirus,Riboviria,A9271,vertebrates,RNA,linear,-0.518410286382233,3.40380969145908e-05
Mycobacterium phage EleanorGeorge,Duplodnaviria,I5H32,bacteria,DNA,linear,0.420923436586791,0.000996079940475216
Staphylococcus phage St 134,Duplodnaviria,HOR65,bacteria,DNA,linear,-0.478667445938048,0.000151072817307985
Opuntia virus 1,Monodnaviria,KM740,invertebrates:land plants,DNA,circular,-0.440462641114768,0.000609804605447432
Microbacterium phage PaoPu,Duplodnaviria,JTF51,bacteria,DNA,linear,0.499215601833339,8.26959422680781e-05
Euphorbia heterophylla associated gemycircularvirus,Monodnaviria,EXH86,land plants,DNA,circular,-0.0596727060198714,0.652668159236252
Erwinia phage phiEaP8,Duplodnaviria,HYP64,bacteria,DNA,circular,-0.286440677966102,0.0281947177766506
Mouse Mosavirus,Riboviria,D1P44,vertebrates,RNA,linear,-0.352483927527762,0.00644111153632381
Psittacid alphaherpesvirus 1,Duplodnaviria,P,vertebrates,DNA,linear,0.279836353009936,0.0321664643946807
Agaricus bisporus endornavirus 1,Riboviria,KM634,fungi,RNA,linear,-0.520923436586792,3.07988309564168e-05
Gouleako virus,Riboviria,FK801,invertebrates,RNA,linear,-0.416130917592052,0.00114924030200235
Mycobacterium phage Dylan,Duplodnaviria,PBI,bacteria,DNA,linear,0.486849795441263,0.000112679080748382
Mycobacterium phage SpikeBT,Duplodnaviria,JMN99,bacteria,DNA,linear,0.482524839275278,0.000131680787661436
Pacific flying fox faeces associated gemycircularvirus-10,Monodnaviria,D1R06,vertebrates,DNA,circular,-0.12635885447107,0.339328513520191
Miscanthus streak virus - [91],Monodnaviria,MiSVgp,land plants,DNA,circular,-0.0746347165400351,0.573318139722768
Vibrio phage Vc1,Duplodnaviria,HOQ97,bacteria,DNA,linear,-0.406370543541789,0.00152866818732564
Haloarcula hispanica pleomorphic virus 4,Monodnaviria,HOS97,archaea,DNA,circular,0.133138515488019,0.313883229842625
Soil-borne wheat mosaic virus,Riboviria,SBWMVsRNA,land plants,RNA,linear,-0.508825248392753,4.95227498463053e-05
Aeromonas phage 60AhydR15PP,Duplodnaviria,KNT91,bacteria,DNA,linear,-0.48521332554062,0.000119550000972831
Sanxia picorna-like virus 4,Riboviria,BWU29,invertebrates,RNA,linear,-0.531502045587376,2.00591544813479e-05
Faecalibacterium phage FP oengus,NA,HOS69,NA,NA,NA,0.101052016364699,0.445312421933025
Clostridium phage vB CpeS-CP51,NA,phiCP51,NA,NA,NA,-0.539573656525885,1.70543002197392e-05
Rehmannia mosaic virus,Riboviria,RehMV,land plants,RNA,linear,-0.521800116890707,2.97379665777135e-05
Honeysuckle yellow vein betasatellite,Tolecusatellitidae,HyvmdasVgp1,land plants,DNA,circular,-0.501567944250871,0.000970399209345873
Escherichia phage OSYSP,Duplodnaviria,HOR86,bacteria,DNA,linear,-0.543775569842198,1.20015842790919e-05
Cangyuan orthoreovirus,Riboviria,RC56,human:vertebrates,RNA,linear,-0.374576271186441,0.00366971205396449
Synechococcus phage S-RIP1,Duplodnaviria,SWVG,bacteria,DNA,linear,-0.459029807130333,0.000297154546143039
Gordonia phage Strosahl,Duplodnaviria,FDH03,bacteria,DNA,linear,0.500584453535944,6.78130237054472e-05
Pseudoalteromonas phage H101,Duplodnaviria,AXI76,bacteria,DNA,linear,-0.559438924605494,6.07294313524597e-06
Staphylococcus phage SMSAP5,Duplodnaviria,F420,bacteria,DNA,linear,-0.582115721800117,2.15153772050965e-06
Jasmine virus C,Riboviria,BH751,land plants,RNA,linear,-0.412390414962011,0.00128322872474542
Listeria phage LMTA-57,Duplodnaviria,HOS24,bacteria,DNA,linear,-0.504967855055523,5.74248482974383e-05
Ralstonia phage phiAp1,NA,HOR51,NA,DNA,linear,0.432904734073641,0.000690609032965581
Mycobacterium phage Bartholomew,Duplodnaviria,I5J45,bacteria,DNA,linear,0.539742840444185,1.42355645433972e-05
Gordonia phage GTE7,Duplodnaviria,GTE7,bacteria,DNA,circular,0.320222092343659,0.0137484275283995
Escherichia phage phiX174,Monodnaviria,phiX174p0,bacteria,DNA,circular,-0.384570426651081,0.00281076798407483
Mouse astrovirus M-52/USA/2008,Riboviria,MoAsVM52,vertebrates,RNA,linear,-0.494970623519641,9.66385848871475e-05
Escherichia phage vB EcoM-fFiEco06,NA,KMC06,NA,NA,NA,-0.547691408533022,1.01498192993494e-05
Klebsiella phage vB KpnS Call,NA,H1O02,NA,NA,NA,-0.016072472238457,0.903703214295407
Enterobacteria phage cdtI,Duplodnaviria,PcdtI,bacteria,DNA,circular,-0.327352425482174,0.0117001294461197
Dragonfly larvae associated circular virus-9,unclassified viruses,BA80,invertebrates,DNA,circular,-0.536682149558584,1.92128127606173e-05
Senna mosaic virus,Riboviria,BFS45,land plants,RNA,linear,-0.0959088252483928,0.46890817417708
Salmonella phage KFS-SE1,Duplodnaviria,HWB38,bacteria,DNA,circular,0.215721800116891,0.10079110758843
Discula destructiva virus 1,Riboviria,Ddv1,fungi,RNA,linear,-0.315371127995324,0.0153129927700934
Lychnis ringspot virus,Riboviria,D1T49,land plants,RNA,linear,-0.502220923436587,6.37468288280373e-05
Gordonia phage Tangerine,Duplodnaviria,J1767,bacteria,DNA,linear,0.488778492109877,0.000105049158809553
BtRf-AlphaCoV/HuB2013,Riboviria,AVU57,vertebrates,RNA,linear,-0.546288720046756,1.07800035409244e-05
Torque teno tamarin virus,Anelloviridae,TTtaV,vertebrates,DNA,circular,0.0147282291057861,0.911737973759377
Mycobacterium phage Frankie,Duplodnaviria,I5H40,bacteria,DNA,linear,0.40958503798948,0.00139280065841738
CAS virus,Riboviria,B918,vertebrates,RNA,linear,-0.445470485096435,0.000463948862602571
Macroptilium yellow spot virus,Monodnaviria,MaYSV,land plants,DNA,circular,-0.291934541203974,0.0252138917097734
Elderberry latent virus,Riboviria,TH98,land plants,RNA,linear,-0.0566335476329632,0.669308366335529
Chili leaf curl betasatellite,Tolecusatellitidae,ChiLCuDSgp1,land plants,DNA,circular,-0.344876248371689,0.0168090367916252
Bacillus phage Eldridge,Duplodnaviria,BH780,bacteria,DNA,linear,-0.480537697253068,0.00014136442659155
Ectropis obliqua picorna-like virus,Riboviria,EOPVgp1,invertebrates,RNA,linear,-0.470777323202805,0.000199161587658449
Avon-Heathcote Estuary associated circular virus 2,Monodnaviria,VM12,invertebrates,DNA,circular,-0.531760435571688,2.34818431570193e-05
Elephantid betaherpesvirus 1,Duplodnaviria,I868,vertebrates,DNA,linear,-0.481239041496201,0.000137874255932039
Xanthophyllomyces dendrorhous virus L1A,Riboviria,K654,fungi,RNA,linear,-0.43115137346581,0.000729206550686492
Bat bocavirus WM40,Monodnaviria,D1U45,vertebrates,DNA,linear,-0.42969023962595,0.000762855858007074
Torulaspora delbrueckii dsRNA Mbarr-1 killer virus,NA,AQF72,NA,RNA,linear,-0.324839275277616,0.0123895991744018
Tuberose mild mosaic virus,Riboviria,FK911,land plants,DNA,linear,-0.341963763880772,0.00831460139555144
Vibrio phage VFJ,Monodnaviria,M692,bacteria,DNA,circular,-0.467971946230275,0.000219398651630518
Erwinia phage vB Eam-MM7,NA,FDI03,NA,NA,NA,-0.406078316773817,0.00154159296897603
Amazon lily mosaic virus,NA,FK881,NA,RNA,linear,-0.395125745397978,0.00252238322901191
Enterococcus phage phiSHEF4,Duplodnaviria,FDI49,bacteria,DNA,linear,-0.501519579193454,6.54610478079943e-05
Hubei odonate virus 5,Riboviria,BWW83,invertebrates,RNA,linear,-0.483576855639977,0.000126805030780753
Sewage-associated circular DNA virus-33,NA,TO78,NA,DNA,circular,-0.549829118250171,1.59257510686821e-05
Wenling red spikefish hantavirus,Riboviria,KM517,vertebrates,RNA,linear,-0.477381648158971,0.000158099041671111
Stocky prune virus,NA,FK965,NA,RNA,linear,-0.460432495616599,0.00028348949964717
Diatom colony associated dsRNA virus 12,NA,EXL01,NA,RNA,linear,-0.353711279953244,0.00624882814256076
Tomato mottle virus,Monodnaviria,ToMoV,land plants,DNA,circular,-0.349094097019287,0.00699949775409688
Ntaya virus,Riboviria,C986,invertebrates,RNA,linear,-0.325248392752776,0.0122750154182046
Bean dwarf mosaic virus,NA,BDMV,NA,DNA,circular,-0.291992986557569,0.0251836759466696
Citrus yellow mosaic virus,Riboviria,CYMVgp,land plants,DNA,circular,-0.469549970777323,0.000207794609695308
Trichoderma atroviride mycovirus,Riboviria,BW700,fungi,RNA,linear,-0.548158971361777,9.94754105980807e-06
Pseudomonas phage vB PaeS PM105,NA,AU148,NA,NA,NA,0.451373465809468,0.000382959780080053
Achromobacter phage Motura,Duplodnaviria,H1O15,bacteria,DNA,linear,0.177732320280538,0.177633219282153
Wenling picorna-like virus 2,Riboviria,BVF76,invertebrates,RNA,linear,-0.469257744009351,0.000209900071119227
Tuhoko virus 3,Riboviria,N611,vertebrates,RNA,linear,-0.52250146113384,2.89138403151803e-05
African oil palm ringspot virus,NA,AOPRV,NA,RNA,linear,-0.473582700175336,0.000180651014343998
Mycobacterium phage PP,Duplodnaviria,KIW36,bacteria,DNA,circular,0.530508474576271,2.08948536211259e-05
Erwinia phage Faunus,Duplodnaviria,HOT32,bacteria,DNA,linear,-0.514143775569842,4.02711956363873e-05
Wenzhou tombus-like virus 16,Riboviria,BXP31,invertebrates,RNA,linear,-0.475277615429573,0.000170247378423913
Pectinobacterium phage vB PcaM CBB,NA,FDG95,NA,NA,NA,-0.538223261250731,1.51738561110329e-05
Tomato yellow spot virus,Monodnaviria,TYSV,land plants,DNA,circular,-0.31677381648159,0.0148455545393104
Pteromalus puparum negative-strand RNA virus 1,Riboviria,D1O98,invertebrates,RNA,linear,-0.387258912916423,0.00261273711864903
Haloarcula californiae icosahedral virus 1,Varidnaviria,BGV91,archaea,DNA,linear,0.497486849795441,7.61735746668115e-05
Ralstonia virus RSIBR1,Monodnaviria,KMD52,bacteria,DNA,circular,0.307597895967271,0.0181398743179891
Diadromus pulchellus idnoreovirus 1,NA,FK960,NA,RNA,linear,-0.515955581531268,3.75050455234661e-05
Guaroa virus,Riboviria,CAU83,human,RNA,linear,-0.508240794856809,5.06514300377033e-05
Mycobacterium phage Phrann,Duplodnaviria,BJD68,bacteria,DNA,linear,0.512273524254822,4.33241944855864e-05
Arthrobacter phage Zartrosa,Duplodnaviria,HYP98,bacteria,DNA,linear,0.241087083576856,0.0660321623058693
Grapevine virus B,Riboviria,GVBgp,land plants,RNA,linear,-0.348743424897721,0.00705962091070423
Lactococcus phage CB19,Duplodnaviria,FDI55,bacteria,DNA,linear,-0.55698421975453,6.77010276001299e-06
Listeria phage LP-124,Duplodnaviria,HOQ96,bacteria,DNA,linear,-0.504383401519579,5.8719222342235e-05
Listeria phage LMSP-25,Duplodnaviria,HH39,bacteria,DNA,linear,-0.500409117475161,6.82626247635974e-05
Tomato leaf curl Madagascar virus-Menabe [Madagascar:Morondova:2001],Monodnaviria,TLCMVgp,land plants,NA,NA,-0.371011104617183,0.00402843461743515
Vibrio phage douglas 12A4,Duplodnaviria,VPAG,bacteria,DNA,linear,-0.528638223261251,2.25566024878899e-05
Pythium polare RNA virus 1,Riboviria,EXJ61,fungi,RNA,linear,0.110637054354179,0.403160007288068
Klebsiella phage KpV71,Duplodnaviria,BJD76,bacteria,DNA,linear,0.0587960257159556,0.657451311179671
Mycobacterium phage LHTSCC,Duplodnaviria,LHTSCC,bacteria,DNA,linear,0.507948568088837,5.1224663210111e-05
Sida yellow mosaic China satellite DNA beta,Tolecusatellitidae,SYMVDBsbetagp1,land plants,DNA,circular,0.0290940766550523,0.856474742921345
Hubei picorna-like virus 72,Riboviria,BWR82,invertebrates,RNA,linear,-0.554237288135593,7.63909653112436e-06
Planaria asexual strain-specific virus-like element type 1,unclassified viruses,Pasve1,invertebrates,DNA,linear,-0.508299240210403,5.05374989192169e-05
Red clover powdery mildew-associated totivirus 2,Riboviria,AT145,fungi,RNA,linear,-0.441846873173583,0.000521105834437377
Lactococcus phage Tuc2009,Duplodnaviria,Tuc2009,bacteria,DNA,circular,-0.529398012857978,2.18672033105746e-05
Mosso das Pedras virus,NA,D1S91,NA,RNA,linear,-0.415488018702513,0.0011713293172145
Microbacterium phage Quaker,Duplodnaviria,JTF58,bacteria,DNA,linear,0.474730074748531,0.000198058333118813
Tomato leaf curl China virus - OX2,Monodnaviria,L676,land plants,DNA,circular,-0.4114552893045,0.00131885631087483
Salmonella phage 1-23,Duplodnaviria,HOV06,bacteria,DNA,linear,-0.51583869082408,3.76780432259932e-05
Sida bright yellow mosaic virus,NA,NA,NA,DNA,circular,-0.236060783167738,0.0720151005864636
Odonata-associated circular virus 21,Monodnaviria,D1U54,invertebrates,DNA,circular,-0.372973638069458,0.00415069056777663
Gorilla anellovirus,Anelloviridae,BCD55,vertebrates,DNA,linear,-0.516904898036973,7.98309281473479e-05
Yersinia phage phi80-18,NA,BN109,NA,DNA,linear,-0.396317942723554,0.00203399878238153
Escherichia phage C119,Duplodnaviria,FDI75,bacteria,DNA,linear,-0.428462887200468,0.000792203443975643
Porcine partetravirus,Monodnaviria,O192,vertebrates,DNA,linear,-0.41052016364699,0.00135537380095873
Frog virus 3,Varidnaviria,FV3gorf,vertebrates,DNA,linear,0.324313267095266,0.0125382828347985
Microbacterium phage Azizam,Duplodnaviria,JTF52,bacteria,DNA,linear,0.490479559506598,0.000113725019774933
Hubei tombus-like virus 30,Riboviria,BVF34,invertebrates,RNA,linear,-0.240619520748101,0.0665712122516127
Sowbane mosaic virus,Riboviria,RuCMV,land plants,RNA,linear,-0.310403272939801,0.0170719414566883
Propionibacterium phage Wizzo,Duplodnaviria,AFL90,bacteria,DNA,linear,0.0722969023962595,0.585417307187166
Shigella virus Sfin-3,Duplodnaviria,H1N97,bacteria,DNA,circular,-0.339976621858562,0.008717652815913
Soybean yellow mottle mosaic virus,Riboviria,SoYMMV,land plants,RNA,linear,-0.274926943308007,0.0354143691988074
Camel alphacoronavirus,Riboviria,AU268,human:vertebrates,RNA,linear,-0.561133839859731,5.63158034207808e-06
Enterobacter phage phiKDA1,Duplodnaviria,HOQ86,bacteria,DNA,linear,-0.177264757451783,0.178790562595269
Enterobacteria phage mEp043 c-1,Duplodnaviria,F850,bacteria,DNA,linear,-0.169725306838106,0.198217494211151
Ageratum conyzoides associated symptomless alphasatellite,Alphasatellitidae,KN73,land plants,DNA,circular,-0.359670728545502,0.00626486593261485
Ustilaginoidea virens nonsegmented virus 2,Riboviria,EXL72,fungi,RNA,linear,0.141320864991233,0.284856985733296
Yongsan bunyavirus 1,Riboviria,F2Q08,invertebrates,RNA,linear,-0.426125073056692,0.000850952848820135
human papillomavirus 71,Monodnaviria,D1R35,human:vertebrates,DNA,circular,-0.441991341991342,0.00081880063300192
Cosavirus F,Riboviria,CAB91,human:vertebrates,RNA,linear,-0.482583284628872,0.000131405448260914
Human adenovirus 35,NA,NA,NA,DNA,linear,-0.467036820572765,0.000226552589669948
Feline bocavirus,Monodnaviria,YOI,vertebrates,DNA,linear,-0.461367621274109,0.000274701674117864
Mycobacterium phage Cintron,Duplodnaviria,KIY71,bacteria,DNA,linear,0.504032729398013,5.95087536554636e-05
Ovine mastadenovirus A,NA,NA,NA,DNA,linear,-0.517650496785506,3.50780162158843e-05
Jatropha leaf yellow mosaic Katarniaghat virus,Monodnaviria,D1T59,land plants,DNA,circular,-0.273348918760959,0.0365148188691284
Rous sarcoma virus,Riboviria,RSVgp,vertebrates,RNA,linear,-0.198889538281707,0.130811714308182
Cattle blood-associated circovirus-like virus,NA,EXL36,NA,DNA,linear,-0.515512265512265,7.16810996819652e-05
Twisted-stalk chlorotic streak virus,Riboviria,FK913,land plants,RNA,linear,-0.329631794272355,0.0111038558136431
Synechococcus phage S-SSM7,Duplodnaviria,SSSM7,bacteria,DNA,linear,-0.501753360607832,6.48849608616287e-05
Thermococcus prieurii virus 1,unclassified archaeal viruses,TPV1,archaea,DNA,circular,-0.257276446522502,0.0494361093580367
Chlamydia phage phiCPAR39,Monodnaviria,phiCPAR39p,bacteria,DNA,circular,-0.406748900304531,0.00166490112727887
Betapolyomavirus canis,Monodnaviria,CAU93,vertebrates,NA,NA,-0.562121212121212,1.15144110388635e-05
CrAssphage sp.,NA,KNU04,NA,DNA,circular,-0.587784921098773,1.64433576759415e-06
Botrytis cinerea RNA virus 1,Riboviria,SP87,fungi,RNA,linear,-0.443950905902981,0.000487183313614296
Lactococcus phage phi7,Duplodnaviria,N388,bacteria,DNA,linear,-0.576095850379895,2.85067461798033e-06
Ovine adenovirus 7,Varidnaviria,OaV7,vertebrates,DNA,linear,-0.620631209818819,3.21960470329356e-07
Crow polyomavirus,Monodnaviria,CrowPV,vertebrates,DNA,circular,-0.477067888892307,0.000182686927259108
Equine adenovirus 1,Varidnaviria,BGI55,vertebrates,DNA,linear,0.351022793687902,0.00667679625073839
Changjiang tombus-like virus 12,Riboviria,BWV85,invertebrates,RNA,linear,0.0860377126334246,0.519753873440797
Torque teno tupaia virus,Anelloviridae,D1P76,vertebrates,DNA,linear,-0.411805961426067,0.00130539271464434
Mycobacterium phage Turj99,Duplodnaviria,PBI,bacteria,DNA,linear,0.492986557568673,9.00268431561907e-05
Rhizobium phage vB RleM PPF1,NA,PPF1,NA,NA,NA,0.401811805961426,0.00174183426912408
Staphylococcus phage tp310-3,Duplodnaviria,SPTP3103,bacteria,DNA,linear,-0.560783167738165,5.72034481304845e-06
Fort Sherman virus,Riboviria,FLB08,human:vertebrates,RNA,linear,-0.475803623611923,0.000167132407293641
Sepik virus,Riboviria,SEPV,invertebrates,RNA,linear,-0.392869666861485,0.00223912899001665
Salmonella phage oselot,Duplodnaviria,HWD27,bacteria,DNA,linear,-0.520748100526008,3.1015180326719e-05
Phaseolus vulgaris endornavirus 3,Riboviria,EXJ11,land plants,RNA,linear,-0.419403857393337,0.00104251404238102
Hantavirus Fusong-Mf-682,Riboviria,D1Q69,vertebrates,RNA,linear,-0.421507890122735,0.000978724882498312
Necocli virus,Riboviria,FK979,vertebrates,RNA,linear,-0.47749853886616,0.000157448095026213
Tomato yellow leaf curl China betasatellite,Tolecusatellitidae,F428,land plants,DNA,circular,-0.232591093117409,0.153811272707833
Mycobacterium phage Imvubu,Duplodnaviria,I5G63,bacteria,DNA,linear,0.520009843427974,3.74949413035823e-05
Gokushovirinae GAIR4,NA,AVU10,NA,DNA,circular,-0.474284044418469,0.000176277210704808
Escherichia phage Minorna,Duplodnaviria,HOV29,bacteria,DNA,linear,-0.199590882524839,0.129438509964984
Circovirus sp.,Monodnaviria,B5P35,vertebrates,DNA,circular,0.0799726589200273,0.556944285143505
French bean leaf curl betasatellite-Kanpur,Tolecusatellitidae,A993,land plants,DNA,circular,-0.181103638278908,0.250127821094066
Shallot yellow stripe virus,Riboviria,SYSV,land plants,RNA,linear,-0.45698421975453,0.00031816521452295
Escherichia phage ESCO13,Duplodnaviria,HOR21,bacteria,DNA,circular,-0.530157802454705,2.11974711025843e-05
Salmonella phage SE1 (in:P22virus),Duplodnaviria,SE1,bacteria,DNA,linear,-0.426592635885447,0.000838896361458676
Glis glis polyomavirus 1,Monodnaviria,EXL47,vertebrates,DNA,circular,-0.444360902255639,0.000679542029314115
Luna mammarenavirus,Riboviria,LUJV,vertebrates,RNA,linear,-0.515949429388785,4.3918717586834e-05
